"keywords","budget","genres","original_language","overview","production_companies","production_countries","runtime","title","rating"
"barcelona spain, transvestism, transsexuality, drug abuse, transplantation, madrid, birthday, autograph, actress, friend","8272296","Comedy, Drama","es","A single mother in Madrid sees her only son die on his birthday as he runs to seek an actress' autograph. Beside herself with grief, she returns to Barcelona to tell the boy's father about the death of the son he never knew he had.","Renn Productions, France 2 CinГ©ma","Spain, France","101.0","All About My Mother","7.4"
"ambush, alcohol, shotgun, tea, joint, machismo, cocktail, rifle, marijuana, cockney accent, pot smoking, hatchet, antique, cardsharp, anger, carjacking, piano, strip show, high stakes","1350000","Comedy, Crime","en","A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.","Handmade Films Ltd., Summit Entertainment, PolyGram Filmed Entertainment, SKA Films, The Steve Tisch Company","United Kingdom","105.0","Lock, Stock and Two Smoking Barrels","7.5"
"new york, corruption, assassin, police brutality, loss of family, s.w.a.t., immigrant, hitman, training, revenge, murder, loneliness, neighbor, tragic love, cult film, neo-noir, complex relationship, complex characters","16000000","Thriller, Crime, Drama","fr","Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.","Columbia Pictures, Gaumont","France, United States of America","110.0","Leon: The Professional","8.2"
"individual, denmark, paraplegic, broken engagement, desperation, wedding vows, sense of guilt, chance, secret love, car crash, hospital, dogme 95, relationship, divorce, extramarital affair, disabled, woman director","0","Drama, Romance","da","Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family donвЂ™t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her.","Zentropa Entertainments","Denmark","113.0","Open Hearts","6.8"
"vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner","1300000","Crime, Drama","en","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.","Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips","United States of America","114.0","Taxi Driver","8.1"
"berlin, casino, nun, red hair, running, homeless person, supermarket, ambulance, subway, daughter, money, fate","1530000","Action, Drama, Thriller","de","Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.","X-Filme Creative Pool, Westdeutscher Rundfunk (WDR)","Germany","81.0","Run Lola Run","7.2"
"clock tower, car race, terrorist, delorean, lightning, guitar, plutonium, sports car, inventor, journey in the past, time travel, race against time, partner, misfit, mad scientist, fish out of water, teenage love, destiny, hidden identity, odd couple, escapade, disorder, chases and races, love and romance, teenage life, misfit partners, changing the past or future, getting home, inventions and discoveries","19000000","Adventure, Comedy, Science Fiction, Family","en","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","Universal Pictures, Amblin Entertainment, U-Drive Productions","United States of America","116.0","Back to the Future","8.0"
"central and south america, predator, alien, stalking, invisible, commando, 3d","18000000","Science Fiction, Action, Adventure, Thriller","en","Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.","Twentieth Century Fox Film Corporation, Lawrence Gordon Productions, Davis Entertainment, Silver Pictures, Amercent Films, American Entertainment Partners L.P.","United States of America","107.0","Predator","7.3"
"gypsy, bare knuckle boxing, slang, trailer park, pig, sport, receiving of stolen goods, cockney accent, diamond, pikey","10000000","Thriller, Crime","en","The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film вЂњLock, Stock and Two Smoking Barrels.вЂќ There are two overlapping stories here вЂ“ one is the search for a stolen diamond, and the other about a boxing promoter whoвЂ™s having trouble with a psychotic gangster.","Columbia Pictures Corporation, Screen Gems, SKA Films","United Kingdom, United States of America","103.0","Snatch","7.7"
"paris, composer, pain, loss of husband, to compose","0","Drama, Music, Mystery","fr","A woman struggles to find a way to live her life after the death of her husband and child.","France 3 CinГ©ma, CED Productions","France, Poland","98.0","Three Colors: Blue","7.7"
"hairdresser, sexual frustration, funeral, business man, poland","0","Comedy, Drama, Mystery","fr","Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland.","Le Studio Canal+, France 3 CinГ©ma, Eurimages","France, Poland","91.0","Three Colors: White","7.3"
"judge, isolation, mannequin, shadowing, english channel, geneva, travel, dog","0","Drama, Mystery, Romance","fr","Red This is the third film from the trilogy by KieЕ›lowski. вЂњRedвЂќ meaning brotherliness. Here KieЕ›lowski masterly tells strange coincidentally linked stories in the most packed work.","ZespГіЕ‚ Filmowy TOR, Le Studio Canal+, France 3 CinГ©ma, TГ©lГ©vision Suisse-Romande","France, Poland, Switzerland","99.0","Three Colors: Red","7.8"
"miami, corruption, capitalism, cuba, prohibition, brother sister relationship, loss of sister, cocaine, cult film, bitterness","25000000","Action, Crime, Drama, Thriller","en","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.","Universal Pictures","United States of America","170.0","Scarface","8.0"
"venice, hotel, copenhagen, waitress, depression, italian, hairdresser, daughter, friendship, language course, adult education center, priest, mother daughter relationship, dogme 95, church, woman director","0","Comedy, Drama, Romance","da","This fifth Danish Dogme film is about six vulnerable individuals whose lives are interwoven. In a city suburb, a young minister arrives to take up duties at a local church. He is persuaded by his assistant to join an Italian night school class, and he soon becomes the centre of a group of people to whom fate has dealt quite serious blows. Gradually each one in the group manages to overcome his/her predicament and find a happy solution. This Dogma production was shown at the Berlinale in 2001 where it surprisingly won a silver medal.","Zentropa Entertainments","Denmark, Sweden","112.0","Italian for Beginners","6.5"
"buddhism, life and death, philosophy, countryside, becoming an adult, buddhist monk, temple, mountain lake, meditation, isolation, attachment to nature, religious education, cycle, penalty, mortification, restart, taskmaster, living together, dying and death, season, south korea, child","0","Drama","ko","This South Korean film takes place on an isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.","LJ Film, Pandora Filmproduktion, Cineclick Asia, Korea Pictures, Cinesoul, Mirae Asset Capital, Muhan Investment","South Korea, Germany","103.0","Spring, Summer, Fall, Winter... and Spring","7.6"
"prostitute, capitalism, cinderella, expensive restaurant, sports car, workaholic, fire escape, friendship, los angeles, piano","14000000","Romance, Comedy","en","When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?","Touchstone Pictures, Silver Screen Partners IV","United States of America","119.0","Pretty Woman","7.0"
"white russian, dude, bowling, vietnam veteran, carpet, nihilism, heart attack, kidnapping, lsd, marijuana, los angeles, millionaire, cowboy, ashes, impregnation, bowling team, unemployed, bowling ball, weeds","15000000","Comedy, Crime","en","Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.","Gramercy Pictures, PolyGram Filmed Entertainment, Working Title Films","United Kingdom, United States of America","117.0","The Big Lebowski","7.8"
"love triangle, london england, upper class, adultery, tennis, river thames, love, wealth, lust, instructor, gold digger, social climbing, actress","15000000","Drama, Thriller, Crime, Romance","en","Match Point is Woody AllenвЂ™s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.","DreamWorks","Ireland, Luxembourg, Russia, United Kingdom, United States of America","124.0","Match Point","7.2"
"white suit, al capone, tough cop, treasury agent, untouchable, tax evasion, jury tampering, rule of law, rooftop chase, cutting face while shaving, 1930s","25000000","Crime, Drama, History, Thriller","en","Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.","Paramount Pictures","United States of America","119.0","The Untouchables","7.6"
"london england, father son relationship, chocolate, factory worker, based on novel, parent child relationship, candy, overweight child, grandfather grandson relationship, teacher","150000000","Adventure, Comedy, Family, Fantasy","en","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","Village Roadshow Pictures, The Zanuck Company, Warner Bros., Tim Burton Productions, Plan B Entertainment, Theobald Film Productions","Australia, United Kingdom, United States of America","115.0","Charlie and the Chocolate Factory","6.7"
"elves, dwarves, orcs, middle-earth (tolkien), hobbit, based on novel, mountain, fireworks, castle, volcano, password, death of a friend, uncle, mirror, wizard, sword and sorcery","93000000","Adventure, Fantasy, Action","en","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","WingNut Films, New Line Cinema, The Saul Zaentz Company","New Zealand, United States of America","178.0","The Lord of the Rings: The Fellowship of the Ring","8.0"
"elves, orcs, middle-earth (tolkien), hobbit, based on novel, explosive, cave, fort, army, mission, attack, guide, wizard, ring, sword and sorcery","79000000","Adventure, Fantasy, Action","en","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","WingNut Films, New Line Cinema, The Saul Zaentz Company","New Zealand, United States of America","179.0","The Lord of the Rings: The Two Towers","8.0"
"elves, orcs, middle-earth (tolkien), based on novel, suspicion, bravery, war, honor, troll, brutality, violence, ghost, end of trilogy, quest, sword and sorcery","94000000","Adventure, Fantasy, Action","en","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.","WingNut Films, New Line Cinema","New Zealand, United States of America","201.0","The Lord of the Rings: The Return of the King","8.1"
"elves, dwarves, hobbit, mission","4000000","Fantasy, Drama, Animation, Adventure","en","The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.","United Artists, Fantasy Films","United States of America","132.0","The Lord of the Rings","6.1"
"new love, heart attack, court case, dying and death, wife, influence, war, afterlife, lawyer","0","Drama, Fantasy","pl","Taking place in a 1982 Poland a translator loses her husband and becomes a victim of her own sorrow. She looks to sex, to her son, to law, and to hypnotism when she has nothing else in this time of martial law when Solidarity was banned.","P.P. Film Polski","Poland","109.0","No End","7.0"
"train station, lodz, airplane, chance, functionary, libya, political party, student, train","0","Drama","pl","Witek runs after a train. Three variations follow on how such a seemingly banal incident could influence the rest of Witek's life.","P.P. Film Polski","Poland","123.0","Blind Chance","7.7"
"fight, wolf, iron, pan, wild boar, territory, friendship, princess, good vs evil, rural setting, anime","26500000","Adventure, Fantasy, Animation","ja","Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.","Miramax Films, Studio Ghibli, Nibariki, Nippon Television Network (NTV)","Japan","134.0","Princess Mononoke","8.2"
"witch, parent child relationship, magic, darkness, bath house, ghost world, parallel world, amusement park, youkai, japanese mythology, anime, spirits","15000000","Fantasy, Adventure, Animation, Family","ja","A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?","Studio Ghibli","Japan","125.0","Spirited Away","8.3"
"shelter, rolling stones, hells angels, music, concert, rock musical, woman director","0","Documentary, Music","en","This documentary of the Rolling Stones' 1969 US tour has become a legendary, harrowing symbol of the tragic demise of the ""Peace and Love"" era. After a successful tour across the US, the Rolling Stones gave a free December concert at Altamont Speedway in California with the Grateful Dead, Ike and Tina Turner, Jefferson Airplane, and the Flying Burrito Brothers. The band unwisely selected the Hells Angels to provide security, and the bikers resorted to violence to keep the stoned, restless, and often naked crowd in line. The result: dozens of injuries and the on-screen stabbing of a young black man (during ""Sympathy for the Devil"") by one of the concert's staff security. In a manipulative but effective move, the Maysles brothers filmed Mick Jagger in the editing room witnessing the on-camera murder for the first time. The film also works as a rock-and-roll document, capturing the band at their most relaxed, intoxicating, and electrifying.","The Criterion Collection, Maysles Films","United States of America","91.0","The Rolling Stones: Gimme Shelter","7.8"
"usa president, staging, presidential election, media, election campaign, democracy","0","Documentary","en","Primary is a documentary film about the primary elections between John F. Kennedy and Hubert Humphrey in 1960. Primary is the first documentary to use light equipment in order to follow their subjects in a more intimate filmmaking style. This unconventional way of filming created a new look for documentary films where the cameraвЂ™s lens was right in the middle of what ever drama was occuring.","Drew Associates, Time","USA","60.0","Primary","7.0"
"prophecy, southern usa, music record, country music, mississippi, seduction, musical, fraud","26000000","Action, Adventure, Comedy","en","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.","Universal Pictures, Mike Zoss Productions, Studio Canal, Touchstone Pictures, Working Title Films","France, United Kingdom, United States of America","106.0","O Brother, Where Art Thou?","7.3"
"england, guitar, rock star, pop star, musician, bob dylan, tour, rock, private life, concert, folk, cinГ©ma vГ©ritГ©, donovan","0","Documentary, Music","en","In this wildly entertaining vision of one of the twentieth centuryвЂ™s greatest artists, Bob Dylan is surrounded by teen fans, gets into heated philosophical jousts with journalists, and kicks back with fellow musicians Joan Baez, Donovan, and Alan Price.","Docurama","United Kingdom","96.0","Dont Look Back","7.5"
"circus, dwarves, infidelity, attempted murder, clown, beauty, siamese twins, revenge, midnight movie, newlywed, bigotry, disability, sideshow, told in flashback, speech impediment, trapeze artist, stutterer, armless woman, midgets, bareback rider, legless man, poisoned drink, pseudo-hermaphrodite, bearded lady, microcephalics, controversial film, human skeleton","0","Drama, Horror","en","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","Metro-Goldwyn-Mayer (MGM)","United States of America","64.0","Freaks","7.7"
"deja vu, groundhog, weather forecast, telecaster, pennsylvania, alarm clock, winter, time warp, time loop, cult film, existentialism, groundhog day","14600000","Romance, Fantasy, Drama, Comedy","en","A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.","Columbia Pictures","United States of America","101.0","Groundhog Day","7.4"
"transylvania, based on novel, monster, castle, vampire, dracula, spider, count, based on play or musical, undead, sanitarium, classic horror, lunatic","355000","Horror","en","The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.","Universal Pictures","United States of America","72.0","Dracula","7.2"
"individual, transvestism, gay, spain, sexual identity, transsexuality, drug abuse, sexual abuse, madrid, film business, screenplay, friendship, boarding school, priest, teacher, catholicism","5000000","Crime, Drama, Romance, Thriller","es","Two children, Ignacio and Enrique, know love, the movies and fear in a religious school at the beginning of the 1960s. Father Manolo, director of the school and its professor of literature, is witness to and part of these discoveries. The three are followed through the next few decades, their reunion marking life and death.","TelevisiГіn EspaГ±ola TVE, Canal+ EspaГ±a, El Deseo S.A.","Spain","106.0","Bad Education","7.1"
"parent child relationship, airplane, time travel, school presentation, school performance, suburbia, vision, morality, teenager","6000000","Fantasy, Drama, Mystery","en","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.","Pandora Cinema, Twentieth Century Fox Film Corporation, Flower Films, Adam Fields Productions","United States of America","113.0","Donnie Darko","7.7"
"gay, countryside, homophobia, loss of lover, wyoming, rodeo, father murder, horseback riding, intolerance, daughter, marriage crisis, secret love, cowboy, star crossed lovers","14000000","Drama, Romance","en","Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of вЂ™63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.","River Road Entertainment, Alberta Film Entertainment, Focus Features, Good Machine","Canada, United States of America","134.0","Brokeback Mountain","7.5"
"germany, disillusion, world war i, army, boot camp, battlefield, steel helmet, combat, warfare, trenches, young soldier, battlefield trauma","1250000","Drama, War","en","A young soldier faces profound disillusionment in the soul-destroying horror of World War I. Together with several other young German soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. They eventually become sad, tormented, and confused of their purpose.","Universal Pictures","United States of America","133.0","All Quiet on the Western Front","7.5"
"berlin, angel, circus, berlin wall, library, dream, immortality, mortality","2500000","Drama, Fantasy, Romance","de","Wings of Desire is Wim WenderвЂ™s artistically beautiful film about the lonely and immortal life of angels during a post-war Berlin. ItвЂ™s a poetic journey from the perspective of the angels of which one falls in love with a living woman and wants to become a mortal human thus giving up his heavenly life. Filmed in black and white and with a feeling of celebrating life.","Road Movies Filmproduktion GmbH, Argos Films, Westdeutscher Rundfunk (WDR)","Germany, France","128.0","Wings of Desire","7.5"
"underdog, scotland, prostitute, paraplegic, tradition, excommunication, authority, social coercions, society, dying and death, faith, prayer, world religion, god, priest, independent film, mother daughter relationship, church, disabled, oil platform","0","Drama, Romance","da","In a small and conservative Scottish village, a woman's paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living.","Trust Film, Danish Film Institute","Denmark, France, Iceland, Netherlands, Norway, Sweden","159.0","Breaking the Waves","7.2"
"flying, martial arts, taskmaster, comb, tiger, desert thief, theft, female martial artist","17000000","Adventure, Drama, Action, Romance","zh","Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.","Sony Pictures Classics, China Film Co-Production Corporation, Columbia Pictures Film Production Asia, Good Machine, EDKO Film, Asia Union Film & Entertainment Ltd., United China Vision, Zoom Hunt International Productions Company Ltd.","China, Hong Kong, Taiwan, United States of America","120.0","Crouching Tiger, Hidden Dragon","7.2"
"fondling, independent film, nouvelle vague, skipping school, mise en scene, fingerprinting,  mugshot, strict teacher, montmartre paris","0","Drama","fr","For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.","Les Films du Carrosse, SГ©dif Productions, The Criterion Collection","France","99.0","The 400 Blows","8.0"
"nurse, yugoslavia, factory worker, dubrovnik, depression, loss of lover, war crimes, factory, dying and death, torture, oil platform, woman director, hearing impaired","5000000","Drama, Romance","en","A touching story of a deaf girl who is sent to an oil rig to take care of a man who has been blinded in a terrible accident. The girl has a special ability to communicate with the men on board and especially with her patient as they share intimate moments together that will change their lives forever.","Hotshot Films","Spain","112.0","The Secret Life of Words","6.8"
"saving the world, total destruction, megacity, street gang, underground, general, stadium, experiment, atomic bomb, mutation, dystopia, army, cyberpunk, motorcycle gang, anime","8000000","Science Fiction, Animation","ja","Childhood friends Tetsuo and Kaneda are pulled into the post-apocalyptic underworld of Neo-Tokyo and forced to fight for their very survival. Kaneda is a bike gang leader, and Tetsuo is a member of a tough motorcycle crew who becomes involved in a covert government project called Akira. But a bloody battle ensues when Kaneda sets out to save his friend.","Bandai Visual Company, Toho Company, Mainichi Broadcasting System (MBS), Kodansha, Tokyo Movie Shinsha (TMS), TMS Entertainment, Akira Committee Company Ltd., Sumitomo Corporation","Japan","124.0","Akira","7.8"
"prison, convict, tough cop, fake fight, bowie knife","12000000","Thriller, Action, Comedy, Crime, Drama","en","A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.","Paramount Pictures","United States of America","96.0","48 Hrs.","6.5"
"artificial intelligence, uss enterprise, starfleet, san francisco, self sacrifice, spacecraft, klingon, vulcan, space opera","35000000","Science Fiction, Adventure, Mystery","en","When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.","Paramount Pictures","United States of America","132.0","Star Trek: The Motion Picture","6.2"
"upper class, hotel room, age difference, commercial, karaoke, homesickness, culture clash, jet lag, pop star, unsociability, aftercreditsstinger, woman director","4000000","Drama","en","Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.","American Zoetrope","Japan, United States of America","102.0","Lost in Translation","7.3"
"dc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, based on comic, tragic hero, organized crime, criminal mastermind, district attorney, imax, super villain, super powers, batman","185000000","Drama, Action, Crime, Thriller","en","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","DC Comics, Legendary Pictures, Warner Bros., DC Entertainment, Syncopy","United Kingdom, United States of America","152.0","The Dark Knight","8.3"
"dc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, based on comic, tragic hero, organized crime, criminal mastermind, district attorney, imax, super villain, super powers, batman","18000000","Science Fiction, Action, Adventure, Thriller","en","Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.","Paramount Pictures","United States of America","105.0","Star Trek III: The Search for Spock","6.4"
"ocean, car race, brain tumor, money delivery, dying and death, friendship, police, road movie","0","Comedy, Crime","de","Two young men, Martin and Rudi, both suffering from terminal cancer, get to know each other in a hospital room. They drown their desperation in tequila and decide to take one last trip to the sea. Drunk and still in pajamas they steal the first fancy car they find, a 60's Mercedes convertible. The car happens to belong to a bunch of gangsters, which immediately start to chase it, since it contains more than the pistol Martin finds in the glove box.","Touchstone","Belgium, Germany, Netherlands","87.0","Knockin' on Heaven's Door","7.6"
"transvestism, gay, male nudity, sexual identity, cologne, drag queen, support group, heterosexual, diashow, waitress, infidelity, friendship","0","Comedy, Drama","de","Der Bewegte Mann is a German comedy about a heterosexual man, Axel, who is thrown out of his girlfriends home for cheating and ends up moving in with a gay man. Axel learns the advantages of living with gay men even though they are attracted to him and when his girlfriend wants him back he must make a tough decision.","Constantin Film, Olga-Film GmbH (MГјnchen)","Germany","90.0","Maybe... Maybe Not","6.1"
"france, train station, cinema, beginning, film and cinema, train","0","Documentary","es","A group of people are standing along the platform of a railway station in La Ciotat, waiting for a train. One is seen coming, at some distance, and eventually stops at the platform. Doors of the railway-cars open and attendants help passengers off and on.  Popular legend has it that, when this film was shown, the first-night audience fled the cafГ© in terror, fearing being run over by the ""approaching"" train. This legend has since been identified as promotional embellishment, though there is evidence to suggest that people were astounded at the capabilities of the LumiГЁres' cinГ©matographe.","LumiГЁre","France","1.0","The Arrival of a Train at La Ciotat","6.9"
"prison, pickpocket, strip club, con artist, atlantic city, cockney accent, las vegas, card dealer, explosives expert, black and white scene, male, salt lake city utah","85000000","Thriller, Crime","en","Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.","Village Roadshow Pictures, Section Eight, NPV Entertainment, Jerry Weintraub Productions, Warner Bros., WV Films II","United States of America","116.0","Eleven","7.2"
"underdog, love at first sight, hairdresser, small town, scissors, inventor, burglar, unsociability","20000000","Fantasy, Drama, Romance","en","A small suburban town receives a visit from a castaway unfinished science experiment named Edward.","Twentieth Century Fox Film Corporation","United States of America","105.0","Edward Scissorhands","7.5"
"sequel, fabergГ© egg, dutch eastindian company, second, part, golden egg, goon","110000000","Thriller, Crime","en","Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam вЂ“ but a Europol agent is hot on their heels.","Village Roadshow Pictures, Section Eight, Jerry Weintraub Productions, Warner Bros., WV Films III","United States of America","125.0","Ocean's Twelve","6.4"
"loss of brother, age difference, cat, broken engagement, fire escape, love of one's life, jewelry, store window, neighbor, millionaire, celebration","2500000","Comedy, Drama, Romance","en","Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.","Paramount Pictures, Jurow-Shepherd","United States of America","110.0","Breakfast at Tiffany's","7.6"
"skateboarding, flying car, car race, delorean, lightning, almanac, inventor, time travel, sequel, diner, alternate history, teenager, electric guitar, walking cane, high school dance, hoverboard, video phone","40000000","Adventure, Comedy, Family, Science Fiction","en","Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.","Universal Pictures, Amblin Entertainment, U-Drive Productions","United States of America","108.0","Back to the Future Part II","7.4"
"paris, dancing, date, adultery, puberty, daughter, mother daughter relationship, teenage crush, youth, celebration","0","Drama, Romance, Comedy","fr","Le Boum is the story of a 13-year-old French girl dealing with moving to a new city and school in Paris, while at the same time her parents are getting a divorce.","Gaumont, Gaumont International, Production Marcel Dassault","France","110.0","The Party","6.4"
"robbery, dream, hypnosis, investigation, murder, alien, hospital, planet, patient, medication, psychiatrist, science, claim, doubt, mental, help","48000000","Drama, Science Fiction","en","Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.","Intermedia Films, Lawrence Gordon Productions, PathГ© Pictures International, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG","Germany, United Kingdom, United States of America","120.0","K-PAX","7.1"
"saving the world, san francisco, uss enterprise-a, time travel, whale, marine biologist, vulcan, space opera","24000000","Science Fiction, Adventure","en","Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!","Paramount Pictures","United States of America","119.0","Star Trek IV: The Voyage Home","6.9"
